LOCAL_VALUE - TEXT1,LOCAL_VALUE - TEXT2,LOCAL_VALUE - TEXT3,,API_VALUE - TEXT1,API_VALUE - TEXT2,API_VALUE - TEXT3,,DIFFERENCES - TEXT1,DIFFERENCES - TEXT2,DIFFERENCES - TEXT3,
120120120120,120120120120,120120120120,,120120120120yf,120120120120,120120120120,,120120120120yf,,,
121121121121,121121121121,121121121121,,121121121121,121121121121,121121121121az,,,,121121121121az,
122122122122,122122122122,122122122122,,122122122122,122122122122,122122122122,,,,,
123123123123,123123123123,123123123123,,123123123123,123123123123,123123123123,,,,,
124124124124,124124124124,124124124124,,124124124124,124124124124,124124124124pf,,,,124124124124pf,
125125125125,125125125125,125125125125,,125125125125,125125125125,125125125125,,,,,
126126126126,126126126126,126126126126,,126126126126,126126126126,126126126126yq,,,,126126126126yq,
127127127127,127127127127,127127127127,,127127127127,127127127127,127127127127rr,,,,127127127127rr,
128128128128,128128128128,128128128128,,128128128128,128128128128,128128128128,,,,,
129129129129,129129129129,129129129129,,129129129129,129129129129gl,129129129129,,,129129129129gl,,
130130130130,130130130130,130130130130,,130130130130,130130130130,130130130130gg,,,,130130130130gg,
131131131131,131131131131,131131131131,,131131131131,131131131131,131131131131,,,,,
132132132132,132132132132,132132132132,,132132132132wv,132132132132,132132132132,,132132132132wv,,,
133133133133,133133133133,133133133133,,133133133133,133133133133,133133133133,,,,,
134134134134,134134134134,134134134134,,134134134134,134134134134,134134134134,,,,,
135135135135,135135135135,135135135135,,135135135135,135135135135,135135135135,,,,,
136136136136,136136136136,136136136136,,136136136136ec,136136136136,136136136136,,136136136136ec,,,
137137137137,137137137137,137137137137,,137137137137iu,137137137137,137137137137,,137137137137iu,,,
138138138138,138138138138,138138138138,,138138138138,138138138138,138138138138,,,,,
139139139139,139139139139,139139139139,,139139139139,139139139139,139139139139,,,,,
140140140140,140140140140,140140140140,,140140140140,140140140140,140140140140,,,,,
141141141141,141141141141,141141141141,,141141141141,141141141141,141141141141,,,,,
142142142142,142142142142,142142142142,,142142142142,142142142142ws,142142142142,,,142142142142ws,,
143143143143,143143143143,143143143143,,143143143143qc,143143143143,143143143143,,143143143143qc,,,
144144144144,144144144144,144144144144,,144144144144,144144144144al,144144144144,,,144144144144al,,
145145145145,145145145145,145145145145,,145145145145,145145145145,145145145145,,,,,
146146146146,146146146146,146146146146,,146146146146,146146146146mn,146146146146,,,146146146146mn,,
147147147147,147147147147,147147147147,,147147147147,147147147147sq,147147147147,,,147147147147sq,,
148148148148,148148148148,148148148148,,148148148148,148148148148ru,148148148148,,,148148148148ru,,
149149149149,149149149149,149149149149,,149149149149,149149149149,149149149149,,,,,
150150150150,150150150150,150150150150,,150150150150,150150150150,150150150150,,,,,
151151151151,151151151151,151151151151,,151151151151,151151151151,151151151151,,,,,
152152152152,152152152152,152152152152,,152152152152,152152152152,152152152152fb,,,,152152152152fb,
153153153153,153153153153,153153153153,,153153153153pd,153153153153,153153153153,,153153153153pd,,,
154154154154,154154154154,154154154154,,154154154154,154154154154lj,154154154154,,,154154154154lj,,
155155155155,155155155155,155155155155,,155155155155,155155155155,155155155155,,,,,
156156156156,156156156156,156156156156,,156156156156,156156156156,156156156156,,,,,
157157157157,157157157157,157157157157,,157157157157,157157157157ik,157157157157,,,157157157157ik,,
158158158158,158158158158,158158158158,,158158158158,158158158158,158158158158ka,,,,158158158158ka,
159159159159,159159159159,159159159159,,159159159159zk,159159159159,159159159159,,159159159159zk,,,
160160160160,160160160160,160160160160,,160160160160,160160160160,160160160160oe,,,,160160160160oe,
161161161161,161161161161,161161161161,,161161161161da,161161161161,161161161161,,161161161161da,,,
162162162162,162162162162,162162162162,,162162162162,162162162162,162162162162,,,,,
163163163163,163163163163,163163163163,,163163163163,163163163163,163163163163,,,,,
164164164164,164164164164,164164164164,,164164164164,164164164164,164164164164cd,,,,164164164164cd,
165165165165,165165165165,165165165165,,165165165165,165165165165,165165165165,,,,,
166166166166,166166166166,166166166166,,166166166166,166166166166ow,166166166166,,,166166166166ow,,
167167167167,167167167167,167167167167,,167167167167,167167167167,167167167167fe,,,,167167167167fe,
168168168168,168168168168,168168168168,,168168168168,168168168168,168168168168,,,,,
169169169169,169169169169,169169169169,,169169169169,169169169169gh,169169169169,,,169169169169gh,,
170170170170,170170170170,170170170170,,170170170170,170170170170,170170170170,,,,,
171171171171,171171171171,171171171171,,171171171171,171171171171,171171171171,,,,,
172172172172,172172172172,172172172172,,172172172172uu,172172172172,172172172172,,172172172172uu,,,
173173173173,173173173173,173173173173,,173173173173,173173173173,173173173173,,,,,
174174174174,174174174174,174174174174,,174174174174,174174174174,174174174174,,,,,
175175175175,175175175175,175175175175,,175175175175,175175175175,175175175175,,,,,
176176176176,176176176176,176176176176,,176176176176kc,176176176176,176176176176,,176176176176kc,,,
177177177177,177177177177,177177177177,,177177177177,177177177177,177177177177,,,,,
178178178178,178178178178,178178178178,,178178178178,178178178178,178178178178aa,,,,178178178178aa,
179179179179,179179179179,179179179179,,179179179179hp,179179179179,179179179179,,179179179179hp,,,
180180180180,180180180180,180180180180,,180180180180,180180180180,180180180180ak,,,,180180180180ak,
181181181181,181181181181,181181181181,,181181181181,181181181181,181181181181,,,,,
182182182182,182182182182,182182182182,,182182182182fq,182182182182,182182182182,,182182182182fq,,,
183183183183,183183183183,183183183183,,183183183183hz,183183183183,183183183183,,183183183183hz,,,
184184184184,184184184184,184184184184,,184184184184ua,184184184184,184184184184,,184184184184ua,,,
185185185185,185185185185,185185185185,,185185185185,185185185185qy,185185185185,,,185185185185qy,,
186186186186,186186186186,186186186186,,186186186186,186186186186,186186186186,,,,,
187187187187,187187187187,187187187187,,187187187187,187187187187zo,187187187187,,,187187187187zo,,
188188188188,188188188188,188188188188,,188188188188,188188188188,188188188188,,,,,
189189189189,189189189189,189189189189,,189189189189,189189189189,189189189189,,,,,
190190190190,190190190190,190190190190,,190190190190te,190190190190,190190190190,,190190190190te,,,
191191191191,191191191191,191191191191,,191191191191jl,191191191191,191191191191,,191191191191jl,,,
192192192192,192192192192,192192192192,,192192192192,192192192192ob,192192192192,,,192192192192ob,,
193193193193,193193193193,193193193193,,193193193193,193193193193,193193193193fx,,,,193193193193fx,
194194194194,194194194194,194194194194,,194194194194sz,194194194194,194194194194,,194194194194sz,,,
195195195195,195195195195,195195195195,,195195195195,195195195195,195195195195,,,,,
196196196196,196196196196,196196196196,,196196196196,196196196196,196196196196,,,,,
197197197197,197197197197,197197197197,,197197197197,197197197197,197197197197,,,,,
198198198198,198198198198,198198198198,,198198198198,198198198198sx,198198198198,,,198198198198sx,,
199199199199,199199199199,199199199199,,199199199199,199199199199,199199199199xq,,,,199199199199xq,
200200200200,200200200200,200200200200,,200200200200,200200200200,200200200200,,,,,
201201201201,201201201201,201201201201,,201201201201,201201201201io,201201201201,,,201201201201io,,
202202202202,202202202202,202202202202,,202202202202,202202202202,202202202202tz,,,,202202202202tz,
203203203203,203203203203,203203203203,,203203203203uk,203203203203,203203203203,,203203203203uk,,,
204204204204,204204204204,204204204204,,204204204204,204204204204,204204204204,,,,,
205205205205,205205205205,205205205205,,205205205205,205205205205hk,205205205205,,,205205205205hk,,
206206206206,206206206206,206206206206,,206206206206,206206206206,206206206206,,,,,
207207207207,207207207207,207207207207,,207207207207,207207207207,207207207207,,,,,
208208208208,208208208208,208208208208,,208208208208,208208208208,208208208208,,,,,
209209209209,209209209209,209209209209,,209209209209,209209209209,209209209209gt,,,,209209209209gt,
210210210210,210210210210,210210210210,,210210210210,210210210210ri,210210210210,,,210210210210ri,,
211211211211,211211211211,211211211211,,211211211211,211211211211,211211211211wz,,,,211211211211wz,
212212212212,212212212212,212212212212,,212212212212,212212212212,212212212212,,,,,
213213213213,213213213213,213213213213,,213213213213,213213213213,213213213213,,,,,
214214214214,214214214214,214214214214,,214214214214,214214214214,214214214214,,,,,
215215215215,215215215215,215215215215,,215215215215dr,215215215215,215215215215,,215215215215dr,,,
216216216216,216216216216,216216216216,,216216216216,216216216216eh,216216216216,,,216216216216eh,,
217217217217,217217217217,217217217217,,217217217217,217217217217nw,217217217217,,,217217217217nw,,
218218218218,218218218218,218218218218,,218218218218,218218218218xk,218218218218,,,218218218218xk,,
219219219219,219219219219,219219219219,,219219219219cf,219219219219,219219219219,,219219219219cf,,,
220220220220,220220220220,220220220220,,220220220220,220220220220,220220220220tb,,,,220220220220tb,
221221221221,221221221221,221221221221,,221221221221ji,221221221221,221221221221,,221221221221ji,,,
222222222222,222222222222,222222222222,,222222222222eq,222222222222,222222222222,,222222222222eq,,,
223223223223,223223223223,223223223223,,223223223223,223223223223,223223223223,,,,,
224224224224,224224224224,224224224224,,224224224224th,224224224224,224224224224,,224224224224th,,,
225225225225,225225225225,225225225225,,225225225225,225225225225,225225225225,,,,,
226226226226,226226226226,226226226226,,226226226226,226226226226dl,226226226226,,,226226226226dl,,
227227227227,227227227227,227227227227,,227227227227om,227227227227,227227227227,,227227227227om,,,
228228228228,228228228228,228228228228,,228228228228oi,228228228228,228228228228,,228228228228oi,,,
229229229229,229229229229,229229229229,,229229229229,229229229229mj,229229229229,,,229229229229mj,,
230230230230,230230230230,230230230230,,230230230230,230230230230,230230230230,,,,,
231231231231,231231231231,231231231231,,231231231231,231231231231,231231231231,,,,,
232232232232,232232232232,232232232232,,232232232232zg,232232232232,232232232232,,232232232232zg,,,
233233233233,233233233233,233233233233,,233233233233,233233233233qu,233233233233,,,233233233233qu,,
234234234234,234234234234,234234234234,,234234234234,234234234234du,234234234234,,,234234234234du,,
235235235235,235235235235,235235235235,,235235235235,235235235235,235235235235,,,,,
236236236236,236236236236,236236236236,,236236236236,236236236236gy,236236236236,,,236236236236gy,,
237237237237,237237237237,237237237237,,237237237237,237237237237on,237237237237,,,237237237237on,,
238238238238,238238238238,238238238238,,238238238238,238238238238,238238238238ox,,,,238238238238ox,
239239239239,239239239239,239239239239,,239239239239,239239239239,239239239239,,,,,
240240240240,240240240240,240240240240,,240240240240,240240240240,240240240240,,,,,
241241241241,241241241241,241241241241,,241241241241,241241241241gh,241241241241,,,241241241241gh,,
242242242242,242242242242,242242242242,,242242242242,242242242242,242242242242,,,,,
243243243243,243243243243,243243243243,,243243243243,243243243243,243243243243jg,,,,243243243243jg,
244244244244,244244244244,244244244244,,244244244244,244244244244eq,244244244244,,,244244244244eq,,
245245245245,245245245245,245245245245,,245245245245,245245245245,245245245245,,,,,
246246246246,246246246246,246246246246,,246246246246,246246246246ti,246246246246,,,246246246246ti,,
247247247247,247247247247,247247247247,,247247247247,247247247247,247247247247,,,,,
248248248248,248248248248,248248248248,,248248248248,248248248248,248248248248,,,,,
249249249249,249249249249,249249249249,,249249249249xv,249249249249,249249249249,,249249249249xv,,,
250250250250,250250250250,250250250250,,250250250250,250250250250hg,250250250250,,,250250250250hg,,
251251251251,251251251251,251251251251,,251251251251,251251251251,251251251251he,,,,251251251251he,
252252252252,252252252252,252252252252,,252252252252,252252252252rm,252252252252,,,252252252252rm,,
253253253253,253253253253,253253253253,,253253253253,253253253253,253253253253,,,,,
254254254254,254254254254,254254254254,,254254254254,254254254254,254254254254,,,,,
255255255255,255255255255,255255255255,,255255255255,255255255255,255255255255ym,,,,255255255255ym,
256256256256,256256256256,256256256256,,256256256256,256256256256,256256256256,,,,,
257257257257,257257257257,257257257257,,257257257257,257257257257,257257257257,,,,,
258258258258,258258258258,258258258258,,258258258258,258258258258,258258258258wt,,,,258258258258wt,
259259259259,259259259259,259259259259,,259259259259sc,259259259259,259259259259,,259259259259sc,,,
260260260260,260260260260,260260260260,,260260260260,260260260260,260260260260pw,,,,260260260260pw,
261261261261,261261261261,261261261261,,261261261261,261261261261,261261261261,,,,,
262262262262,262262262262,262262262262,,262262262262mp,262262262262,262262262262,,262262262262mp,,,
263263263263,263263263263,263263263263,,263263263263,263263263263,263263263263,,,,,
264264264264,264264264264,264264264264,,264264264264,264264264264,264264264264,,,,,
265265265265,265265265265,265265265265,,265265265265,265265265265dq,265265265265,,,265265265265dq,,
266266266266,266266266266,266266266266,,266266266266jq,266266266266,266266266266,,266266266266jq,,,
267267267267,267267267267,267267267267,,267267267267go,267267267267,267267267267,,267267267267go,,,
268268268268,268268268268,268268268268,,268268268268,268268268268,268268268268,,,,,
269269269269,269269269269,269269269269,,269269269269,269269269269,269269269269,,,,,
270270270270,270270270270,270270270270,,270270270270,270270270270nl,270270270270,,,270270270270nl,,
271271271271,271271271271,271271271271,,271271271271,271271271271,271271271271,,,,,
272272272272,272272272272,272272272272,,272272272272,272272272272wn,272272272272,,,272272272272wn,,
273273273273,273273273273,273273273273,,273273273273cr,273273273273,273273273273,,273273273273cr,,,
274274274274,274274274274,274274274274,,274274274274,274274274274,274274274274,,,,,
275275275275,275275275275,275275275275,,275275275275,275275275275,275275275275jv,,,,275275275275jv,
276276276276,276276276276,276276276276,,276276276276,276276276276,276276276276,,,,,
277277277277,277277277277,277277277277,,277277277277,277277277277,277277277277,,,,,
278278278278,278278278278,278278278278,,278278278278,278278278278,278278278278zf,,,,278278278278zf,
279279279279,279279279279,279279279279,,279279279279,279279279279,279279279279,,,,,
280280280280,280280280280,280280280280,,280280280280,280280280280zn,280280280280,,,280280280280zn,,
281281281281,281281281281,281281281281,,281281281281,281281281281,281281281281,,,,,
282282282282,282282282282,282282282282,,282282282282,282282282282,282282282282qp,,,,282282282282qp,
283283283283,283283283283,283283283283,,283283283283,283283283283,283283283283,,,,,
284284284284,284284284284,284284284284,,284284284284,284284284284zy,284284284284,,,284284284284zy,,
285285285285,285285285285,285285285285,,285285285285,285285285285,285285285285,,,,,
286286286286,286286286286,286286286286,,286286286286,286286286286,286286286286,,,,,
287287287287,287287287287,287287287287,,287287287287,287287287287,287287287287,,,,,
288288288288,288288288288,288288288288,,288288288288nt,288288288288,288288288288,,288288288288nt,,,
289289289289,289289289289,289289289289,,289289289289,289289289289,289289289289,,,,,
290290290290,290290290290,290290290290,,290290290290fr,290290290290,290290290290,,290290290290fr,,,
291291291291,291291291291,291291291291,,291291291291,291291291291,291291291291,,,,,
292292292292,292292292292,292292292292,,292292292292,292292292292,292292292292fr,,,,292292292292fr,
293293293293,293293293293,293293293293,,293293293293,293293293293qb,293293293293,,,293293293293qb,,
294294294294,294294294294,294294294294,,294294294294,294294294294,294294294294,,,,,
295295295295,295295295295,295295295295,,295295295295,295295295295qs,295295295295,,,295295295295qs,,
296296296296,296296296296,296296296296,,296296296296,296296296296,296296296296,,,,,
297297297297,297297297297,297297297297,,297297297297,297297297297,297297297297,,,,,
298298298298,298298298298,298298298298,,298298298298xr,298298298298,298298298298,,298298298298xr,,,
299299299299,299299299299,299299299299,,299299299299,299299299299,299299299299,,,,,
300300300300,300300300300,300300300300,,300300300300tj,300300300300,300300300300,,300300300300tj,,,
301301301301,301301301301,301301301301,,301301301301,301301301301,301301301301,,,,,
302302302302,302302302302,302302302302,,302302302302,302302302302,302302302302,,,,,
303303303303,303303303303,303303303303,,303303303303en,303303303303,303303303303,,303303303303en,,,
304304304304,304304304304,304304304304,,304304304304,304304304304,304304304304hi,,,,304304304304hi,
305305305305,305305305305,305305305305,,305305305305,305305305305,305305305305,,,,,
306306306306,306306306306,306306306306,,306306306306,306306306306,306306306306,,,,,
307307307307,307307307307,307307307307,,307307307307,307307307307,307307307307,,,,,
308308308308,308308308308,308308308308,,308308308308,308308308308,308308308308,,,,,
309309309309,309309309309,309309309309,,309309309309gn,309309309309,309309309309,,309309309309gn,,,
310310310310,310310310310,310310310310,,310310310310,310310310310,310310310310,,,,,
311311311311,311311311311,311311311311,,311311311311,311311311311,311311311311tp,,,,311311311311tp,
312312312312,312312312312,312312312312,,312312312312,312312312312,312312312312,,,,,
313313313313,313313313313,313313313313,,313313313313,313313313313hj,313313313313,,,313313313313hj,,
314314314314,314314314314,314314314314,,314314314314,314314314314,314314314314wd,,,,314314314314wd,
315315315315,315315315315,315315315315,,315315315315bi,315315315315,315315315315,,315315315315bi,,,
316316316316,316316316316,316316316316,,316316316316,316316316316wx,316316316316,,,316316316316wx,,
317317317317,317317317317,317317317317,,317317317317,317317317317,317317317317,,,,,
318318318318,318318318318,318318318318,,318318318318,318318318318,318318318318,,,,,
319319319319,319319319319,319319319319,,319319319319,319319319319,319319319319iz,,,,319319319319iz,
320320320320,320320320320,320320320320,,320320320320,320320320320,320320320320,,,,,
321321321321,321321321321,321321321321,,321321321321,321321321321,321321321321,,,,,
322322322322,322322322322,322322322322,,322322322322,322322322322,322322322322fa,,,,322322322322fa,
323323323323,323323323323,323323323323,,323323323323,323323323323ly,323323323323,,,323323323323ly,,
324324324324,324324324324,324324324324,,324324324324,324324324324,324324324324,,,,,
325325325325,325325325325,325325325325,,325325325325,325325325325ux,325325325325,,,325325325325ux,,
326326326326,326326326326,326326326326,,326326326326,326326326326,326326326326,,,,,
327327327327,327327327327,327327327327,,327327327327,327327327327,327327327327,,,,,
328328328328,328328328328,328328328328,,328328328328,328328328328,328328328328ks,,,,328328328328ks,
329329329329,329329329329,329329329329,,329329329329,329329329329km,329329329329,,,329329329329km,,
330330330330,330330330330,330330330330,,330330330330,330330330330,330330330330,,,,,
331331331331,331331331331,331331331331,,331331331331,331331331331,331331331331,,,,,
332332332332,332332332332,332332332332,,332332332332,332332332332,332332332332ve,,,,332332332332ve,
333333333333,333333333333,333333333333,,333333333333yy,333333333333,333333333333,,333333333333yy,,,
334334334334,334334334334,334334334334,,334334334334,334334334334ko,334334334334,,,334334334334ko,,
335335335335,335335335335,335335335335,,335335335335,335335335335,335335335335,,,,,
336336336336,336336336336,336336336336,,336336336336,336336336336,336336336336,,,,,
337337337337,337337337337,337337337337,,337337337337,337337337337,337337337337,,,,,
338338338338,338338338338,338338338338,,338338338338,338338338338,338338338338,,,,,
339339339339,339339339339,339339339339,,339339339339ja,339339339339,339339339339,,339339339339ja,,,
340340340340,340340340340,340340340340,,340340340340,340340340340fe,340340340340,,,340340340340fe,,
341341341341,341341341341,341341341341,,341341341341,341341341341,341341341341,,,,,
342342342342,342342342342,342342342342,,342342342342,342342342342gp,342342342342,,,342342342342gp,,
343343343343,343343343343,343343343343,,343343343343,343343343343,343343343343,,,,,
344344344344,344344344344,344344344344,,344344344344,344344344344,344344344344,,,,,
345345345345,345345345345,345345345345,,345345345345,345345345345,345345345345kx,,,,345345345345kx,
346346346346,346346346346,346346346346,,346346346346,346346346346,346346346346,,,,,
347347347347,347347347347,347347347347,,347347347347,347347347347co,347347347347,,,347347347347co,,
348348348348,348348348348,348348348348,,348348348348ll,348348348348,348348348348,,348348348348ll,,,
349349349349,349349349349,349349349349,,349349349349,349349349349,349349349349,,,,,
350350350350,350350350350,350350350350,,350350350350,350350350350,350350350350,,,,,
351351351351,351351351351,351351351351,,351351351351yw,351351351351,351351351351,,351351351351yw,,,
352352352352,352352352352,352352352352,,352352352352,352352352352,352352352352,,,,,
353353353353,353353353353,353353353353,,353353353353,353353353353,353353353353at,,,,353353353353at,
354354354354,354354354354,354354354354,,354354354354iy,354354354354,354354354354,,354354354354iy,,,
355355355355,355355355355,355355355355,,355355355355,355355355355,355355355355,,,,,
356356356356,356356356356,356356356356,,356356356356,356356356356xl,356356356356,,,356356356356xl,,
357357357357,357357357357,357357357357,,357357357357,357357357357,357357357357sd,,,,357357357357sd,
358358358358,358358358358,358358358358,,358358358358,358358358358,358358358358,,,,,
359359359359,359359359359,359359359359,,359359359359,359359359359,359359359359,,,,,
360360360360,360360360360,360360360360,,360360360360,360360360360,360360360360,,,,,
